Athlete,Date,Location,Coast
Athlete 506,1/16/2019,USA,East
Athlete 439,1/16/2019,USA,East
Athlete 25,1/16/2019,USA,East
Athlete 480,1/16/2019,USA,East
Athlete 459,1/16/2019,USA,East
Athlete 240,1/16/2019,USA,East
Athlete 43,1/16/2019,USA,East
Athlete 437,1/16/2019,USA,East
Athlete 366,1/15/2019,USA,East
Athlete 465,1/16/2019,USA,East
Athlete 506,1/17/2019,USA,East
Athlete 240,1/17/2019,USA,East
Athlete 439,1/17/2019,USA,East
Athlete 43,1/17/2019,USA,East
Athlete 437,1/17/2019,USA,East
Athlete 546,1/17/2019,USA,East
Athlete 480,1/17/2019,USA,East
Athlete 236,1/17/2019,USA,East
Athlete 43,1/19/2019,Canada,West
Athlete 459,1/19/2019,Canada,West
Athlete 506,1/19/2019,Canada,West
Athlete 437,1/19/2019,Canada,West
Athlete 480,1/19/2019,Canada,West
Athlete 439,1/19/2019,Canada,West
Athlete 506,1/22/2019,Canada,West
Athlete 439,1/22/2019,Canada,West
Athlete 366,1/22/2019,Canada,West
Athlete 387,1/25/2019,USA,West
Athlete 387,1/26/2019,USA,West
Athlete 459,1/26/2019,USA,West
Athlete 106,1/26/2019,USA,West
Athlete 387,1/27/2019,USA,West
Athlete 459,1/27/2019,USA,West
Athlete 366,1/26/2019,USA,West
Athlete 43,1/28/2019,USA,West
Athlete 11,1/30/2019,USA,West
Athlete 506,2/1/2019,USA,West
Athlete 240,2/1/2019,USA,West
Athlete 77,2/1/2019,USA,West
Athlete 77,2/2/2019,USA,West
Athlete 240,2/2/2019,USA,West
Athlete 506,2/3/2019,USA,West
Athlete 83,2/2/2019,USA,West
Athlete 83,2/3/2019,USA,West
Athlete 77,2/3/2019,USA,West
Athlete 240,2/3/2019,USA,West
Athlete 240,2/4/2019,USA,West
Athlete 43,2/4/2019,USA,West
Athlete 366,2/5/2019,USA,West
Athlete 106,2/9/2019,Austria,
Athlete 387,2/9/2019,Austria,
Athlete 11,2/9/2019,Austria,
Athlete 387,2/10/2019,Austria,
Athlete 106,2/10/2019,Austria,
Athlete 186,2/10/2019,Austria,
Athlete 506,2/10/2019,Austria,
Athlete 439,2/10/2019,Austria,
Athlete 13,2/10/2019,Austria,
Athlete 333,2/10/2019,Austria,
Athlete 61,2/10/2019,Austria,
Athlete 506,2/11/2019,Austria,
Athlete 186,2/11/2019,Austria,
Athlete 13,2/11/2019,Austria,
Athlete 61,2/11/2019,Austria,
Athlete 333,2/11/2019,Austria,
Athlete 439,2/11/2019,Austria,
Athlete 387,2/11/2019,Austria,
Athlete 106,2/11/2019,Austria,
Athlete 236,2/11/2019,Austria,
Athlete 387,2/12/2019,Austria,
Athlete 106,2/12/2019,Austria,
Athlete 61,2/12/2019,Austria,
Athlete 186,2/12/2019,Austria,
Athlete 333,2/12/2019,Austria,
Athlete 439,2/12/2019,Austria,
Athlete 13,2/12/2019,Austria,
Athlete 333,2/13/2019,Austria,
Athlete 186,2/13/2019,Norway,
Athlete 506,2/13/2019,Norway,
Athlete 61,2/13/2019,Norway,
Athlete 13,2/13/2019,Norway,
Athlete 387,2/13/2019,Norway,
Athlete 106,2/13/2019,Norway,
Athlete 439,2/13/2019,Norway,
Athlete 387,2/14/2019,Norway,
Athlete 186,2/14/2019,Norway,
Athlete 106,2/14/2019,Norway,
Athlete 333,2/14/2019,Norway,
Athlete 61,2/14/2019,Norway,
Athlete 13,2/14/2019,Norway,
Athlete 506,2/14/2019,Norway,
Athlete 439,2/14/2019,Norway,
Athlete 61,2/15/2019,Norway,
Athlete 387,2/15/2019,Norway,
Athlete 333,2/15/2019,Norway,
Athlete 13,2/15/2019,Norway,
Athlete 186,2/15/2019,Norway,
Athlete 61,2/16/2019,Norway,
Athlete 13,2/16/2019,Norway,
Athlete 333,2/16/2019,Norway,
Athlete 240,2/16/2019,Norway,
Athlete 240,2/17/2019,Norway,
Athlete 480,2/17/2019,Norway,
Athlete 437,2/17/2019,Norway,
Athlete 437,2/16/2019,Norway,
Athlete 480,2/18/2019,Norway,
Athlete 240,2/18/2019,Norway,
Athlete 236,2/18/2019,Norway,
Athlete 480,2/19/2019,Norway,
Athlete 236,2/19/2019,Norway,
Athlete 240,2/20/2019,Norway,
Athlete 480,2/20/2019,Norway,
Athlete 240,2/21/2019,Norway,
Athlete 387,2/22/2019,Norway,
Athlete 387,2/23/2019,Norway,
Athlete 439,2/26/2019,Norway,
Athlete 323,2/27/2019,Norway,
Athlete 13,2/27/2019,Norway,
Athlete 201,2/27/2019,Norway,
Athlete 259,2/27/2019,Norway,
Athlete 201,2/28/2019,Norway,
Athlete 323,2/28/2019,Norway,
Athlete 201,3/1/2019,Switzerland,
Athlete 323,3/1/2019,Switzerland,
Athlete 61,2/27/2019,Switzerland,
Athlete 61,2/28/2019,Switzerland,
Athlete 61,3/1/2019,Switzerland,
Athlete 259,3/1/2019,Switzerland,
Athlete 323,3/2/2019,Switzerland,
Athlete 186,3/3/2019,Switzerland,
Athlete 439,3/5/2019,Switzerland,
Athlete 236,3/11/2019,USA,East
Athlete 238,3/13/2019,USA,East
Athlete 236,3/14/2019,USA,East
Athlete 240,3/16/2019,USA,East
Athlete 236,3/16/2019,USA,East
Athlete 236,3/17/2019,USA,East
Athlete 236,3/18/2019,USA,East
Athlete 240,3/18/2019,USA,East
Athlete 236,3/19/2019,USA,East
Athlete 61,3/22/2019,Canada,West
Athlete 506,3/24/2019,Canada,West
Athlete 240,3/24/2019,Canada,West
Athlete 506,3/26/2019,Canada,West
Athlete 506,3/27/2019,Canada,West
Athlete 236,3/26/2019,Canada,West
Athlete 506,3/28/2019,Canada,West
Athlete 506,3/29/2019,Canada,West
Athlete 236,4/2/2019,Canada,West
Athlete 106,4/5/2019,Canada,West
Athlete 106,4/6/2019,Canada,West
Athlete 106,4/7/2019,Canada,West
Athlete 366,4/6/2019,Canada,West
Athlete 366,4/8/2019,Canada,West
Athlete 366,4/7/2019,Canada,West
Athlete 186,4/25/2019,Germany,
Athlete 43,4/26/2019,Germany,
Athlete 83,4/26/2019,Germany,
Athlete 43,4/27/2019,Germany,
Athlete 546,4/27/2019,Germany,
Athlete 83,4/27/2019,Germany,
Athlete 480,5/3/2019,Japan,
Athlete 25,5/3/2019,Japan,
Athlete 25,5/4/2019,Japan,
Athlete 480,5/4/2019,Japan,
Athlete 480,5/17/2019,Japan,
Athlete 480,5/18/2019,Japan,
Athlete 232,7/12/2019,USA,East
Athlete 530,7/21/2019,USA,East
Athlete 506,7/21/2019,USA,East
Athlete 439,7/21/2019,USA,East
Athlete 152,7/21/2019,USA,East
Athlete 454,7/22/2019,USA,East
Athlete 439,7/22/2019,USA,East
Athlete 152,7/22/2019,USA,East
Athlete 506,7/22/2019,USA,East
Athlete 454,7/23/2019,USA,East
Athlete 506,7/23/2019,USA,East
Athlete 439,7/23/2019,USA,East
Athlete 454,7/24/2019,USA,East
