Athlete,Team,Survey_Completed,Date_New,DayOfEntry,DayOfEntry_TEXT,Sleep_Hours,Nap_Hours,Sleep_Quality,Fatigue,Soreness,Stress,Readiness,Motivation,Wellness/Load
Athlete 61,Team 1,1/7/2019 9:27,NA,1,NA,7,0.5,85,17,27,92,100,83,Wellness
Athlete 506,Team 2,1/7/2019 9:57,NA,1,NA,5.6,0.2,51,6,3,96,46,68,Wellness
Athlete 289,Team 1,1/7/2019 10:26,NA,1,NA,8,0,55,28,13,51,72,74,Wellness
Athlete 530,Team 2,1/7/2019 10:32,NA,1,NA,7.5,0,100,0,0,100,0,100,Wellness
Athlete 25,Team 2,1/7/2019 10:52,NA,1,NA,9,0,60,0,15,100,33,62,Wellness
Athlete 238,Team 2,1/7/2019 12:31,NA,1,NA,8.1,0,93,0,15,84,97,100,Wellness
Athlete 201,Team 2,1/7/2019 15:48,NA,1,NA,6,0,25,49,63,39,21,67,Wellness
Athlete 208,Team 2,1/7/2019 18:59,NA,1,NA,9,0.4,100,1,26,100,73,75,Wellness
Athlete 437,Team 1,1/8/2019 0:53,NA,2,NA,7.5,0,50,36,50,62,70,51,Wellness
Athlete 270,Team 2,1/8/2019 7:26,NA,1,NA,7.1,0,43,55,45,100,55,100,Wellness
Athlete 201,Team 2,1/8/2019 7:29,NA,1,NA,9.5,0,53,18,27,90,72,59,Wellness
Athlete 418,Team 1,1/8/2019 7:32,NA,1,NA,7.3,0,75,49,41,83,53,79,Wellness
Athlete 25,Team 2,1/8/2019 7:36,NA,1,NA,8.7,0,58,0,8,93,20,52,Wellness
Athlete 333,Team 2,1/8/2019 7:47,NA,1,NA,9.7,0,87,50,0,100,53,83,Wellness
Athlete 387,Team 2,1/8/2019 8:01,NA,1,NA,7.5,0.3,98,0,0,99,98,99,Wellness
Athlete 61,Team 1,1/8/2019 8:22,NA,1,NA,8.1,0,92,0,26,100,80,86,Wellness
Athlete 180,Team 2,1/8/2019 8:36,NA,1,NA,7,0,73,16,30,71,74,50,Wellness
Athlete 506,Team 2,1/8/2019 8:37,NA,1,NA,8.1,0,50,10,28,97,43,59,Wellness
Athlete 18,Team 1,1/8/2019 9:29,NA,1,NA,6.3,1.2,59,23,30,100,48,77,Wellness
Athlete 43,Team 2,1/8/2019 9:41,NA,1,NA,8.5,0,68,26,5,95,70,87,Wellness
Athlete 437,Team 1,1/8/2019 9:43,NA,1,NA,8.3,0,75,61,37,72,63,54,Wellness
Athlete 366,Team 1,1/8/2019 9:45,NA,1,NA,8.6,0,62,18,5,82,69,53,Wellness
